sample_id,read1,read2,group,species,original_group
ChC24A,./rawdata/Unknown_CP266-001T0001_1.fq.gz,./rawdata/Unknown_CP266-001T0001_2.fq.gz,ChC24,chlamy,ChC24
ChC24B,./rawdata/Unknown_CP266-001T0002_1.fq.gz,./rawdata/Unknown_CP266-001T0002_2.fq.gz,ChC24,chlamy,ChC24
ChC24C,./rawdata/Unknown_CP266-001T0003_1.fq.gz,./rawdata/Unknown_CP266-001T0003_2.fq.gz,ChC24,chlamy,ChC24
ChA24A,./rawdata/Unknown_CP266-001T0004_1.fq.gz,./rawdata/Unknown_CP266-001T0004_2.fq.gz,ChA24,chlamy,ChA24
ChA24B,./rawdata/Unknown_CP266-001T0005_1.fq.gz,./rawdata/Unknown_CP266-001T0005_2.fq.gz,ChA24,chlamy,ChA24
ChA24C,./rawdata/Unknown_CP266-001T0006_1.fq.gz,./rawdata/Unknown_CP266-001T0006_2.fq.gz,ChA24,chlamy,ChA24
ChCi24A,./rawdata/Unknown_CP266-001T0007_1.fq.gz,./rawdata/Unknown_CP266-001T0007_2.fq.gz,ChCi24,chlamy,ChCi24
ChCi24B,./rawdata/Unknown_CP266-001T0008_1.fq.gz,./rawdata/Unknown_CP266-001T0008_2.fq.gz,ChCi24,chlamy,ChCi24
ChCi24C,./rawdata/Unknown_CP266-001T0009_1.fq.gz,./rawdata/Unknown_CP266-001T0009_2.fq.gz,ChCi24,chlamy,ChCi24
ChACi24A,./rawdata/Unknown_CP266-001T0010_1.fq.gz,./rawdata/Unknown_CP266-001T0010_2.fq.gz,ChACi24,chlamy,ChACi24
ChACi24B,./rawdata/Unknown_CP266-001T0011_1.fq.gz,./rawdata/Unknown_CP266-001T0011_2.fq.gz,ChACi24,chlamy,ChACi24
ChACi24C,./rawdata/Unknown_CP266-001T0012_1.fq.gz,./rawdata/Unknown_CP266-001T0012_2.fq.gz,ChACi24,chlamy,ChACi24
LC24A,./rawdata/Unknown_CP266-001T0013_1.fq.gz,./rawdata/Unknown_CP266-001T0013_2.fq.gz,LC24,lolium,LC24
LC24B,./rawdata/Unknown_CP266-001T0014_1.fq.gz,./rawdata/Unknown_CP266-001T0014_2.fq.gz,LC24,lolium,LC24
LC24C,./rawdata/Unknown_CP266-001T0015_1.fq.gz,./rawdata/Unknown_CP266-001T0015_2.fq.gz,LC24,lolium,LC24
LA24A,./rawdata/Unknown_CP266-001T0016_1.fq.gz,./rawdata/Unknown_CP266-001T0016_2.fq.gz,LA24,lolium,LA24
LA24B,./rawdata/Unknown_CP266-001T0017_1.fq.gz,./rawdata/Unknown_CP266-001T0017_2.fq.gz,LA24,lolium,LA24
LA24C,./rawdata/Unknown_CP266-001T0018_1.fq.gz,./rawdata/Unknown_CP266-001T0018_2.fq.gz,LA24,lolium,LA24
LCi24A,./rawdata/Unknown_CP266-001T0019_1.fq.gz,./rawdata/Unknown_CP266-001T0019_2.fq.gz,LCi24,lolium,LCi24
LCi24B,./rawdata/Unknown_CP266-001T0020_1.fq.gz,./rawdata/Unknown_CP266-001T0020_2.fq.gz,LCi24,lolium,LCi24
LCi24C,./rawdata/Unknown_CP266-001T0021_1.fq.gz,./rawdata/Unknown_CP266-001T0021_2.fq.gz,LCi24,lolium,LCi24
LACi24A,./rawdata/Unknown_CP266-001T0022_1.fq.gz,./rawdata/Unknown_CP266-001T0022_2.fq.gz,LACi24,lolium,LACi24
LACi24B,./rawdata/Unknown_CP266-001T0023_1.fq.gz,./rawdata/Unknown_CP266-001T0023_2.fq.gz,LACi24,lolium,LACi24
LACi24C,./rawdata/Unknown_CP266-001T0024_1.fq.gz,./rawdata/Unknown_CP266-001T0024_2.fq.gz,LACi24,lolium,LACi24
