sample_id,read1,read2,group,species,original_group
ChC24A,Unknown_CP266-001T0001_good_1.fq.gz,Unknown_CP266-001T0001_good_2.fq.gz,ChC24,chlamy,ChC24
ChC24B,Unknown_CP266-001T0002_good_1.fq.gz,Unknown_CP266-001T0002_good_2.fq.gz,ChC24,chlamy,ChC24
ChC24C,Unknown_CP266-001T0003_good_1.fq.gz,Unknown_CP266-001T0003_good_2.fq.gz,ChC24,chlamy,ChC24
ChA24A,Unknown_CP266-001T0004_good_1.fq.gz,Unknown_CP266-001T0004_good_2.fq.gz,ChA24,chlamy,ChA24
ChA24B,Unknown_CP266-001T0005_good_1.fq.gz,Unknown_CP266-001T0005_good_2.fq.gz,ChA24,chlamy,ChA24
ChA24C,Unknown_CP266-001T0006_good_1.fq.gz,Unknown_CP266-001T0006_good_2.fq.gz,ChA24,chlamy,ChA24
ChCi24A,Unknown_CP266-001T0007_good_1.fq.gz,Unknown_CP266-001T0007_good_2.fq.gz,ChCi24,chlamy,ChCi24
ChCi24B,Unknown_CP266-001T0008_good_1.fq.gz,Unknown_CP266-001T0008_good_2.fq.gz,ChCi24,chlamy,ChCi24
ChCi24C,Unknown_CP266-001T0009_good_1.fq.gz,Unknown_CP266-001T0009_good_2.fq.gz,ChCi24,chlamy,ChCi24
ChACi24A,Unknown_CP266-001T0010_good_1.fq.gz,Unknown_CP266-001T0010_good_2.fq.gz,ChACi24,chlamy,ChACi24
ChACi24B,Unknown_CP266-001T0011_good_1.fq.gz,Unknown_CP266-001T0011_good_2.fq.gz,ChACi24,chlamy,ChACi24
ChACi24C,Unknown_CP266-001T0012_good_1.fq.gz,Unknown_CP266-001T0012_good_2.fq.gz,ChACi24,chlamy,ChACi24
LC24A,Unknown_CP266-001T0013_good_1.fq.gz,Unknown_CP266-001T0013_good_2.fq.gz,LC24,lolium,LC24
LC24B,Unknown_CP266-001T0014_good_1.fq.gz,Unknown_CP266-001T0014_good_2.fq.gz,LC24,lolium,LC24
LC24C,Unknown_CP266-001T0015_good_1.fq.gz,Unknown_CP266-001T0015_good_2.fq.gz,LC24,lolium,LC24
LA24A,Unknown_CP266-001T0016_good_1.fq.gz,Unknown_CP266-001T0016_good_2.fq.gz,LA24,lolium,LA24
LA24B,Unknown_CP266-001T0017_good_1.fq.gz,Unknown_CP266-001T0017_good_2.fq.gz,LA24,lolium,LA24
